timestamp,source_region,destination_region,avg_latency_ms,min_latency_ms,max_latency_ms,packet_loss_percent,jitter_ms,throughput_mbps,retransmissions
2026-09-10T05:29:43.315958,us-west-2,us-east-1,55.08,55.045,55.173,0.0,0.029,0,220
2026-09-10T05:36:36.796510,us-west-2,us-east-1,55.083,55.04,55.175,0.0,0.034,504.0,18
2026-09-10T05:40:31.188066,us-west-2,us-east-1,55.156,55.093,55.277,0.0,0.044,488.0,0
2026-09-10T05:50:30.721738,us-west-2,us-east-1,55.266,55.075,57.811,0.0,0.585,448.0,28
2026-09-10T06:00:31.582087,us-west-2,us-east-1,57.971,55.044,85.678,0.0,6.566,481.0,0
2026-09-10T06:10:31.539453,us-west-2,us-east-1,58.639,58.41,61.417,0.0,0.639,506.0,0
2026-09-10T06:20:31.510951,us-west-2,us-east-1,58.684,58.459,61.959,0.0,0.752,462.0,0
2026-09-10T06:30:31.318562,us-west-2,us-east-1,55.099,55.068,55.273,0.0,0.046,528.0,0
2026-09-10T06:40:31.180564,us-west-2,us-east-1,55.107,55.051,55.589,0.0,0.112,533.0,78
2026-09-10T06:50:30.782710,us-west-2,us-east-1,55.218,55.05,57.061,0.0,0.445,459.0,55
2026-09-10T07:00:31.679324,us-west-2,us-east-1,55.566,55.04,64.12,0.0,1.964,448.0,16
2026-09-10T07:10:31.690660,us-west-2,us-east-1,55.15,55.056,56.133,0.0,0.227,456.0,0
2026-09-10T07:20:31.370077,us-west-2,us-east-1,55.091,55.054,55.16,0.0,0.028,527.0,0
2026-09-10T07:30:31.021540,us-west-2,us-east-1,57.701,55.047,92.252,0.0,8.588,529.0,0
2026-09-10T07:40:30.628756,us-west-2,us-east-1,55.229,55.034,58.15,0.0,0.67,519.0,24
2026-09-10T07:50:31.629536,us-west-2,us-east-1,55.104,55.032,55.157,0.0,0.026,507.0,96
2026-09-10T08:00:31.445575,us-west-2,us-east-1,58.366,55.096,105.188,0.0,10.865,514.0,0
2026-09-10T08:10:31.399731,us-west-2,us-east-1,55.186,55.041,57.288,0.0,0.482,519.0,0
2026-09-10T08:20:31.151734,us-west-2,us-east-1,55.23,55.056,57.687,0.0,0.565,533.0,0
2026-09-10T08:30:30.734330,us-west-2,us-east-1,55.087,55.028,55.181,0.0,0.033,516.0,0
2026-09-10T08:40:31.349978,us-west-2,us-east-1,55.641,55.055,66.215,0.0,2.425,528.0,19
2026-09-10T08:50:31.192307,us-west-2,us-east-1,55.083,55.049,55.136,0.0,0.02,514.0,69
2026-09-10T09:00:30.825034,us-west-2,us-east-1,57.25,55.052,79.843,0.0,6.237,448.0,0
2026-09-10T09:10:31.849830,us-west-2,us-east-1,56.226,55.033,77.595,0.0,4.902,527.0,0
2026-09-10T09:20:31.743142,us-west-2,us-east-1,55.467,55.054,62.686,0.0,1.656,532.0,0
2026-09-10T09:30:31.485420,us-west-2,us-east-1,55.145,55.096,55.232,0.0,0.033,522.0,0
2026-09-10T09:40:31.326475,us-west-2,us-east-1,55.152,55.085,55.272,0.0,0.039,539.0,0
2026-09-10T09:50:30.882673,us-west-2,us-east-1,55.458,55.102,60.123,0.0,1.091,491.0,210
2026-09-10T10:00:31.849778,us-west-2,us-east-1,57.198,55.07,75.532,0.0,5.895,451.0,0
2026-09-10T10:10:31.818991,us-west-2,us-east-1,55.105,55.083,55.177,0.0,0.022,535.0,0
2026-09-10T10:20:31.647326,us-west-2,us-east-1,55.127,55.079,55.231,0.0,0.041,496.0,323
2026-09-10T10:30:31.569010,us-west-2,us-east-1,57.659,55.09,59.189,0.0,1.865,520.0,0
2026-09-10T10:40:31.268152,us-west-2,us-east-1,55.33,55.1,58.521,0.0,0.733,504.0,0
2026-09-10T10:50:30.995171,us-west-2,us-east-1,55.465,55.076,62.085,0.0,1.518,521.0,90
2026-09-10T11:00:30.537174,us-west-2,us-east-1,55.17,55.084,55.61,0.0,0.136,531.0,10
2026-09-10T11:10:31.651055,us-west-2,us-east-1,56.438,55.09,81.525,0.0,5.755,467.0,189
2026-09-10T11:20:31.482103,us-west-2,us-east-1,55.162,55.081,55.955,0.0,0.182,491.0,64
2026-09-10T11:30:31.178139,us-west-2,us-east-1,55.474,55.093,62.081,0.0,1.515,520.0,50
2026-09-10T11:40:30.920393,us-west-2,us-east-1,55.124,55.09,55.23,0.0,0.03,496.0,120
2026-09-10T11:50:31.581392,us-west-2,us-east-1,55.135,55.091,55.207,0.0,0.032,499.0,122
2026-09-10T12:00:31.435261,us-west-2,us-east-1,55.172,55.12,55.414,0.0,0.068,519.0,0
2026-09-10T12:10:31.144056,us-west-2,us-east-1,55.138,55.077,55.246,0.0,0.04,529.0,0
2026-09-10T12:20:30.915638,us-west-2,us-east-1,61.063,60.891,63.161,0.0,0.482,535.0,0
2026-09-10T12:30:31.701778,us-west-2,us-east-1,61.006,60.909,61.763,0.0,0.182,522.0,0
2026-09-10T12:40:31.665011,us-west-2,us-east-1,60.926,60.885,60.99,0.0,0.03,499.0,0
2026-09-10T12:50:31.482161,us-west-2,us-east-1,55.031,54.982,55.217,0.0,0.051,503.0,0
2026-09-10T13:00:31.139213,us-west-2,us-east-1,55.402,54.987,58.92,0.0,0.986,494.0,19
2026-09-10T13:10:30.692987,us-west-2,us-east-1,55.159,54.951,57.808,0.0,0.62,502.0,108
2026-09-10T13:20:31.661969,us-west-2,us-east-1,55.314,54.954,61.531,0.0,1.426,505.0,24
2026-09-10T13:30:31.565232,us-west-2,us-east-1,54.982,54.947,55.034,0.0,0.026,467.0,0
2026-09-10T13:40:31.222499,us-west-2,us-east-1,55.183,54.964,58.434,0.0,0.747,473.0,826
2026-09-10T13:50:30.864633,us-west-2,us-east-1,55.017,54.959,55.18,0.0,0.056,474.0,155
2026-09-10T14:00:31.672607,us-west-2,us-east-1,55.057,55.004,55.137,0.0,0.03,489.0,1
2026-09-10T14:10:31.411189,us-west-2,us-east-1,55.157,55.034,56.798,0.0,0.378,502.0,0
2026-09-10T14:20:31.223740,us-west-2,us-east-1,55.066,55.028,55.167,0.0,0.031,457.0,0
2026-09-10T14:30:30.965218,us-west-2,us-east-1,55.068,55.029,55.215,0.0,0.043,278.0,1162
2026-09-10T14:40:31.701535,us-west-2,us-east-1,55.07,55.026,55.126,0.0,0.027,395.0,384
2026-09-10T14:50:31.607218,us-west-2,us-east-1,55.17,55.021,57.392,0.0,0.51,219.0,661
2026-09-10T15:00:31.395709,us-west-2,us-east-1,55.15,55.025,56.324,0.0,0.273,419.0,1046
2026-09-10T15:10:31.259713,us-west-2,us-east-1,55.902,55.032,71.896,0.0,3.669,433.0,442
